Borough,Ncode,Neighborhood,Latitude,Longitude,population density,population total,male,female,Median income,Median age
Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.70317633,-73.98875281,465621.889,35373,17227,18146,1003599,33.9
Bronx,BX30,Kingsbridge Heights,40.87039239,-73.90152265,456852.04,30599,13741,16858,199619,33.3
Brooklyn,BK30,Dyker Heights,40.61921946,-74.01931376,727678.94,45216,22395,22821,1016628,40
Brooklyn,BK69,Clinton Hill,40.69322942,-73.96784306,516764.57,36413,17412,19001,601196,33.4
Brooklyn,BK26,Gravesend,40.59526001,-73.97347088,256332.2,27759,12635,15124,318003,41.7
Brooklyn,BK31,Bay Ridge,40.62580107,-74.03062069,1155799.68,83821,39949,43872,1669952,40
Brooklyn,BK42,Flatbush,40.63632589,-73.95840107,1978140.27,105094,48046,57048,1223438,34.6
Manhattan,MN27,Chinatown,40.71561842,-73.99427936,699498.54,46550,23206,23344,290031,38.6
Manhattan,MN40,Upper East Side-Carnegie Hill,40.764821,-73.970303,1202067.92,58834,26419,32415,2192460,43.1
Manhattan,MN33,East Harlem South,40.789608,-73.946262,1238786.57,59794,28418,31376,461872,35.3
Queens,QN29,Elmhurst,40.74404851,-73.88165622,1455213.5,84904,43582,41322,788935,36
Queens,QN19,Glendale,40.70276243,-73.87074167,443040.39,31750,15226,16524,720089,37.2
Staten Island,SI14,Grasmere-Arrochar-Ft. Wadsworth,40.59771508,-74.08382835,51571.935,14775,6848,7927,334044,38.7
Brooklyn,BK37,Park Slope-Gowanus,40.67393114,-73.99444087,1095752.208,72864,34912,37952,1890499,35.9
Queens,QN22,Flushing,40.7644542,-73.831773,947356.924,69382,33208,36174,515667,43.7
Staten Island,SI36,Old Town-Dongan Hills-South Beach,40.58948831,-74.10127071,59995.532,24999,12235,12764,301270,41.1
Queens,QN62,Queensboro Hill,40.74457231,-73.82580915,124178.91,20989,10284,10705,265148,39.8
Queens,QN37,Kew Gardens Hills,40.72257824,-73.82087765,273512.62,36683,17624,19059,522429,36.3
Bronx,BX08,West Farms-Bronx River,40.83183,-73.87992,461806.14,35325,17175,18150,228883,32.5
Brooklyn,BK79,Ocean Hill,40.67840255,-73.91306832,433748.3,31831,14343,17488,362434,34.7
Brooklyn,BK81,Brownsville,40.66394994,-73.91023536,727410.62,55412,22458,32954,426336,34.7
Queens,QN60,Kew Gardens,40.70517904,-73.82981906,260799.44,22878,11240,11638,417829,39.6
Staten Island,SI25,Oakwood-Oakwood Beach,40.564789,-74.115318,52063.421,22038,10428,11610,390145,44.8
Queens,QN17,Forest Hills,40.72526378,-73.84447501,1124464.97,84694,38378,46316,1825183,43
Bronx,BX75,Crotona Park East,40.83388,-73.8877,239067.16,20352,9505,10847,155441,29.7
Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,40.72098349,-74.00648828,477391.96,40059,20130,19929,1129924,35.8
Queens,QN26,North Corona,40.754071,-73.85751791,703387.79,50295,28493,21802,425052,36.5
Queens,QN30,Maspeth,40.72542737,-73.89621714,340431.235,27677,13585,14092,807240,38.1
Queens,QN50,Elmhurst-Maspeth,40.74660883,-73.89236832,211994.513,25088,12415,12673,306071,37
Queens,QN70,Astoria,40.76850859,-73.91565374,1230989.52,75149,37003,38146,1280677,35.1
